1917 52 3728
1917 667 52
52 667 2107
1917 1860 667
1860 3451 667
3451 3922 667
2107 667 3664
3922 3664 667
2961 387 1433
3664 2465 2107
1433 387 2179
3728 52 2020
387 3739 2179
2107 2020 52
2465 2020 2107
1433 3728 2020
2020 3439 1433
2961 1433 3439
3922 3407 3664
2465 3664 3694
541 2867 2179
3439 2020 2712
541 2179 3634
3739 3634 2179
3407 486 3664
3694 3664 486
1433 2179 2867
387 2961 1806
3439 1806 2961
2867 541 128
3451 3407 3922
2020 2465 3694
3694 2712 2020
3407 367 486
3634 3739 3378
486 275 3694
387 3378 3739
1806 3378 387
3439 2712 1537
3634 128 541
128 3798 2867
275 2383 3694
3634 2467 128
2712 3694 2383
3798 564 2867
2867 564 2421
367 3235 486
2383 2591 2712
1537 2712 2591
1806 3439 1537
3798 128 2467
3378 1806 440
3378 1040 3634
1537 3488 1806
2467 3634 1040
3451 367 3407
275 486 3235
440 1806 3488
2383 275 2370
3235 2370 275
564 3757 2421
440 1040 3378
2421 3757 2976
3488 1537 2167
3798 3757 564
3757 3798 1299
2467 1193 3798
1299 3798 1193
1040 440 3740
2591 2167 1537
1040 1193 2467
3235 1855 2370
3740 440 2831
3740 1193 1040
2167 2591 1667
2370 2881 2383
3488 2831 440
2591 2383 2881
1667 2591 2881
1855 2881 2370
2976 3757 2143
3740 3234 1193
1299 2143 3757
2167 2831 3488
1193 1854 1299
2143 1683 2976
2143 1299 1854
1683 1129 2976
1855 62 2881
2421 2976 1129
1667 2881 373
2831 2167 3096
1667 2758 2167
3096 2167 2758
1129 1683 3312
2143 1854 3746
3234 1854 1193
2758 3760 3096
2831 3234 3740
2143 3304 1683
1854 3234 2259
3234 2831 1371
3312 1683 3304
3096 3641 2831
3641 1371 2831
62 3696 2881
2259 3234 1371
373 2881 3696
2758 1667 373
2259 2060 1854
2758 373 3956
3746 1854 2060
3746 3304 2143
3696 3231 373
1129 3312 3311
3760 3641 3096
3231 3956 373
3760 2758 3956
3956 1472 3760
1855 4069 62
3304 3746 1953
3312 3588 3311
