2679 3959 3947
2679 857 3447
3959 2182 3947
2182 1336 3947
1336 2256 3947
3959 3397 1882
2256 2296 3947
3959 3940 3397
3447 857 3230
3940 3465 3397
1882 3397 1528
3397 617 1528
1336 2182 1826
3947 2999 2679
2296 3105 3947
857 2679 2999
3940 2110 3832
3230 857 1292
3959 3036 2182
2999 3947 3105
2999 1774 857
3940 1828 2110
1828 469 2110
2679 3940 3959
2110 2106 3832
3832 531 3940
1292 857 1774
2296 2256 3520
3036 1156 2182
1826 2182 1156
1774 2999 1468
3397 3465 14
1882 3036 3959
1528 617 480
3105 1836 2999
469 3591 2110
1292 1774 916
1882 1378 3036
480 617 3183
1292 2662 3230
1468 2999 1836
3465 3940 1384
531 1384 3940
3397 3183 617
14 3465 1384
531 3832 1702
2106 1702 3832
1378 3169 3036
2110 269 2106
1336 3520 2256
1156 2846 1826
3447 3230 2662
3105 2296 3520
1468 916 1774
1156 3036 3169
1826 1470 1336
3520 1336 1470
1384 1570 14
1528 1378 1882
480 1880 1528
14 3183 3397
1895 3857 2997
469 1828 3392
2997 3392 1828
1378 1528 1880
1702 2106 4035
2997 2890 1895
1470 3720 3520
1895 2890 3961
269 4035 2106
2846 1470 1826
916 2727 1292
3105 3520 3720
3591 269 2110
1828 2890 2997
3392 426 469
2846 1156 582
3183 14 2320
3169 582 1156
3591 469 426
2662 1292 2727
3857 1389 2997
3447 2662 300
916 1468 819
1880 2001 1378
3392 2997 1389
1570 2320 14
3169 1378 2001
2320 1570 2492
1836 3105 3720
3720 3696 1836
1836 819 1468
2001 3760 3169
426 2979 3591
2727 1338 2662
1470 2846 3500
269 3591 2979
582 3169 3760
582 434 2846
2727 916 819
3500 2846 434
3720 1470 2251
1702 2858 531
1384 3743 1570
1880 480 3098
1384 531 2858
3183 3098 480
2890 1374 3961
3857 1895 3961
3961 254 3857
2320 3098 3183
2492 1570 3743
300 2662 1338
819 1836 4000
3500 2251 1470
2979 426 1383
269 2979 1699
1389 3857 254
1383 426 2624
1699 2979 1154
3392 2624 426
3696 4000 1836
2858 3743 1384
2727 819 3978
4035 2858 1702
2320 2492 2056
254 3961 1374
254 2417 1389
3743 2056 2492
3760 2001 2321
269 2766 4035
160 2321 2001
1383 1154 2979
1338 2727 3371
948 4035 2766
3696 3720 2251
1699 2766 269
4000 3978 819
3392 1389 2417
3098 1249 1880
2858 4035 948
1880 160 2001
2624 3392 2417
3978 3371 2727
1338 1319 300
254 1374 3096
160 1880 1249
3696 2251 3010
300 1319 2872
2471 1172 2417
254 2471 2417
2624 2417 1172
948 91 2858
1154 1383 59
3371 1319 1338
434 582 3794
2890 1481 1374
3010 2251 3092
2858 22 3743
3760 3794 582
3500 3092 2251
434 24 3500
3636 3743 22
91 22 2858
3010 3864 3696
2766 2695 948
2321 3794 3760
3098 2320 370
2624 1007 1383
3096 1374 1481
59 1383 1007
2056 370 2320
3371 3978 1108
91 948 2695
3092 3500 24
370 2056 1038
3794 24 434
2056 3743 3636
3371 1930 1319
1172 1007 2624
4000 3696 3864
1249 3098 370
3794 2321 565
2872 1319 3242
2471 254 3096
2766 1699 2241
2321 160 1426
1154 2250 1699
1249 1426 160
2241 1699 2250
3864 2646 4000
3096 336 2471
1930 3242 1319
565 2321 1426
4000 1108 3978
59 2250 1154
2695 2766 2157
2241 2157 2766
1172 2471 2574
2695 2357 91
336 2574 2471
3010 3092 2322
565 3485 3794
1108 3896 3371
370 3352 1249
3636 22 2197
1930 3371 3896
2872 3242 1922
1108 4000 2646
3636 1038 2056
2574 336 1051
3896 1108 1557
24 3794 3485
24 1599 3092
22 91 2357
2322 3092 1599
3864 3010 2322
2357 2197 22
1007 1172 2574
2197 1134 3636
2157 2241 981
1426 1249 3352
1038 3636 3240
3242 1930 2634
1134 3240 3636
2157 2357 2695
2646 1557 1108
1557 2646 1909
1599 1159 2322
3485 1599 24
370 1038 3589
373 3589 1038
1922 3242 203
373 1038 3240
2197 2357 3510
3352 370 3589
3896 2634 1930
1909 2646 75
2574 944 1007
59 1007 3144
2872 1922 3673
2322 3847 3864
1051 336 3412
2250 981 2241
944 3144 1007
2646 3864 3847
3096 3412 336
2250 59 3144
2634 203 3242
565 3781 3485
3144 2042 2250
986 1051 3412
75 2646 3847
3781 2177 3485
1159 3847 2322
2357 2157 2640
1159 1599 3423
1426 800 565
981 2640 2157
3781 565 800
3485 3423 1599
3589 2796 3352
2354 3352 2796
3510 2357 3455
3673 1922 203
2574 1051 986
1557 768 3896
3423 3485 2177
2640 3455 2357
981 2250 2042
3352 800 1426
2640 981 2536
