Time,ActuatorDispl Command,ActuatorDispl,AD6 VicGauge0,AD7 VicGauge1,Load,Strain (Gauge0),Strain (Gauge1),Engr. Stress,,Specimen,LTA01,
s,mm,mm,V,V,N,%,mm,MPa,,Width,1.016,mm
33.219727,0.83709717,0.83798146,-0.001340664,-0.000547947,1.1603756,-0.013406635,-0.000260964,1.094030278,,Thickness,1.044,mm
33.239746,0.83709717,0.83807886,-0.001356908,-0.000488255,1.1609203,-0.013569078,-0.000232536,1.094543834,,Stress Area,1.061,mm^2
33.259766,0.83713377,0.83809853,-0.000998387,-0.000859224,1.1210678,-0.009983865,-0.000409213,1.05696993,,VICGauge 0 Factor,10,%strain/V
33.279785,0.83813477,0.83814776,-0.001647073,-0.000875684,1.261695,-0.016470725,-0.000417052,1.189556667,,VICGauge 1 Factor,0.476258513,mm/V
33.299805,0.83913577,0.83835918,-0.001650486,-0.000801685,1.6043367,-0.016504863,-0.000381809,1.512607578,,,,
33.319824,0.84013671,0.83898103,-0.001623778,-0.000828214,2.0882471,-0.016237777,-0.000394444,1.968850048,,,,
33.339844,0.84113771,0.83947539,-0.001639126,-0.000809064,2.8320823,-0.016391259,-0.000385323,2.670155927,,,,
33.359863,0.84213865,0.84077495,-0.00162689,-0.000848406,4.1660414,-0.016268903,-0.000404061,3.927844942,,,,
33.379883,0.84313965,0.8416118,-0.001630534,-0.000825672,5.2860103,-0.016305335,-0.000393234,4.983778803,,,,
33.399902,0.84414065,0.84283888,0.00023879,-0.00018195,6.4001446,0.002387898,-8.6655E-05,6.034211661,,,,
33.419922,0.84514159,0.84337986,0.000190027,-0.000186259,7.5399246,0.00190027,-8.87076E-05,7.108823907,,,,
33.439941,0.84614259,0.84455287,0.000225403,-0.000215177,8.9448519,0.002254028,-0.00010248,8.433423464,,,,
33.459961,0.84714353,0.84552425,0.000246673,-0.000176256,10.17233,0.002466727,-8.39432E-05,9.590719607,,,,
33.47998,0.84814453,0.84646165,-0.000122597,-0.000151671,11.607408,-0.001225973,-7.22344E-05,10.94374598,,,,
33.5,0.84914553,0.84740627,-0.001607684,-0.001745332,12.908679,-0.016076835,-0.000831229,12.17061586,,,,
33.52002,0.85014647,0.84836519,-0.001761614,-0.001771303,14.339769,-0.017616142,-0.000843598,13.51988224,,,,
33.540039,0.85114747,0.84932137,-0.001896055,-0.00112019,15.826907,-0.018960551,-0.0005335,14.92199204,,,,
33.560059,0.85214841,0.85026461,-0.002205494,-0.000832819,17.475918,-0.022054939,-0.000396637,16.47671963,,,,
33.580078,0.85314941,0.85122573,-0.003372177,-0.00051779,19.045179,-0.03372177,-0.000246602,17.95625699,,,,
33.600098,0.85415041,0.85226911,-0.000395346,-0.000885157,20.582319,-0.003953461,-0.000421563,19.40550989,,,,
33.620117,0.85515136,0.85318911,-0.000102953,-0.000226355,22.500271,-0.001029526,-0.000107803,21.21380158,,,,
33.640137,0.85615236,0.85385656,-0.000118531,-0.000509713,24.11834,-0.001185313,-0.000242755,22.73935631,,,,
