Central Profile,,,Eastern Profile,,,Western Profile,,
X-Coord,Y-Coord,Z-Coord,X-Coord,Y-Coord,Z-Coord,X-Coord,Y-Coord,Z-Coord
-7958190,5411559,0,-7866248,5419497,0,-8058732,5399653,0
-7958203.589,5411658.072,0.047619048,-7866261.589,5419596.072,0.047619048,-8058745.589,5399752.072,0.047619048
-7958217.178,5411757.145,0.067343503,-7866275.178,5419695.145,0.067343503,-8058759.178,5399851.145,0.067343503
-7958230.767,5411856.217,0.08247861,-7866288.767,5419794.217,0.08247861,-8058772.767,5399950.217,0.08247861
-7958244.355,5411955.29,0.095238095,-7866302.355,5419893.29,0.095238095,-8058786.355,5400049.29,0.095238095
-7958257.944,5412054.362,0.106479427,-7866315.944,5419992.362,0.106479427,-8058799.944,5400148.362,0.106479427
-7958271.533,5412153.434,0.116642369,-7866329.533,5420091.434,0.116642369,-8058813.533,5400247.434,0.116642369
-7958285.122,5412252.507,0.125988158,-7866343.122,5420190.507,0.125988158,-8058827.122,5400346.507,0.125988158
-7958298.711,5412351.579,0.134687006,-7866356.711,5420289.579,0.134687006,-8058840.711,5400445.579,0.134687006
-7958312.3,5412450.652,0.142857143,-7866370.3,5420388.652,0.142857143,-8058854.3,5400544.652,0.142857143
-7958325.888,5412549.724,0.15058465,-7866383.888,5420487.724,0.15058465,-8058867.888,5400643.724,0.15058465
-7958339.477,5412648.797,0.157934514,-7866397.477,5420586.797,0.157934514,-8058881.477,5400742.797,0.157934514
-7958353.066,5412747.869,0.16495722,-7866411.066,5420685.869,0.16495722,-8058895.066,5400841.869,0.16495722
-7958366.655,5412846.941,0.171692918,-7866424.655,5420784.941,0.171692918,-8058908.655,5400940.941,0.171692918
-7958380.244,5412946.014,0.178174161,-7866438.244,5420884.014,0.178174161,-8058922.244,5401040.014,0.178174161
-7958393.833,5413045.086,0.184427778,-7866451.833,5420983.086,0.184427778,-8058935.833,5401139.086,0.184427778
-7958407.422,5413144.159,0.19047619,-7866465.422,5421082.159,0.19047619,-8058949.422,5401238.159,0.19047619
-7958421.01,5413243.231,0.196338363,-7866479.01,5421181.231,0.196338363,-8058963.01,5401337.231,0.196338363
-7958434.599,5413342.303,0.202030509,-7866492.599,5421280.303,0.202030509,-8058976.599,5401436.303,0.202030509
-7958448.188,5413441.376,0.207566616,-7866506.188,5421379.376,0.207566616,-8058990.188,5401535.376,0.207566616
-7958461.777,5413540.448,0.212958855,-7866519.777,5421478.448,0.212958855,-8059003.777,5401634.448,0.212958855
-7958475.366,5413639.521,0.21821789,-7866533.366,5421577.521,0.21821789,-8059017.366,5401733.521,0.21821789
-7958488.955,5413738.593,0.223353131,-7866546.955,5421676.593,0.223353131,-8059030.955,5401832.593,0.223353131
-7958502.544,5413837.666,0.22837293,-7866560.544,5421775.666,0.22837293,-8059044.544,5401931.666,0.22837293
-7958516.132,5413936.738,0.233284737,-7866574.132,5421874.738,0.233284737,-8059058.132,5402030.738,0.233284737
-7958529.721,5414035.81,0.238095238,-7866587.721,5421973.81,0.238095238,-8059071.721,5402129.81,0.238095238
-7958543.31,5414134.883,0.242810453,-7866601.31,5422072.883,0.242810453,-8059085.31,5402228.883,0.242810453
-7958556.899,5414233.955,0.24743583,-7866614.899,5422171.955,0.24743583,-8059098.899,5402327.955,0.24743583
-7958570.488,5414333.028,0.251976315,-7866628.488,5422271.028,0.251976315,-8059112.488,5402427.028,0.251976315
-7958584.077,5414432.1,0.256436419,-7866642.077,5422370.1,0.256436419,-8059126.077,5402526.1,0.256436419
-7958597.665,5414531.172,0.260820265,-7866655.665,5422469.172,0.260820265,-8059139.665,5402625.172,0.260820265
-7958611.254,5414630.245,0.265131636,-7866669.254,5422568.245,0.265131636,-8059153.254,5402724.245,0.265131636
-7958624.843,5414729.317,0.269374012,-7866682.843,5422667.317,0.269374012,-8059166.843,5402823.317,0.269374012
-7958638.432,5414828.39,0.273550602,-7866696.432,5422766.39,0.273550602,-8059180.432,5402922.39,0.273550602
-7958652.021,5414927.462,0.277664376,-7866710.021,5422865.462,0.277664376,-8059194.021,5403021.462,0.277664376
-7958665.61,5415026.534,0.281718085,-7866723.61,5422964.534,0.281718085,-8059207.61,5403120.534,0.281718085
-7958679.199,5415125.607,0.285714286,-7866737.199,5423063.607,0.285714286,-8059221.199,5403219.607,0.285714286
-7958692.787,5415224.679,0.289655359,-7866750.787,5423162.679,0.289655359,-8059234.787,5403318.679,0.289655359
-7958706.376,5415323.752,0.293543524,-7866764.376,5423261.752,0.293543524,-8059248.376,5403417.752,0.293543524
-7958719.965,5415422.824,0.297380857,-7866777.965,5423360.824,0.297380857,-8059261.965,5403516.824,0.297380857
-7958733.554,5415521.897,0.301169301,-7866791.554,5423459.897,0.301169301,-8059275.554,5403615.897,0.301169301
-7958747.143,5415620.969,0.304910678,-7866805.143,5423558.969,0.304910678,-8059289.143,5403714.969,0.304910678
-7958760.732,5415720.041,0.3086067,-7866818.732,5423658.041,0.3086067,-8059302.732,5403814.041,0.3086067
-7958774.321,5415819.114,0.312258977,-7866832.321,5423757.114,0.312258977,-8059316.321,5403913.114,0.312258977
-7958787.909,5415918.186,0.315869028,-7866845.909,5423856.186,0.315869028,-8059329.909,5404012.186,0.315869028
-7958801.498,5416017.259,0.319438282,-7866859.498,5423955.259,0.319438282,-8059343.498,5404111.259,0.319438282
-7958815.087,5416116.331,0.322968094,-7866873.087,5424054.331,0.322968094,-8059357.087,5404210.331,0.322968094
-7958828.676,5416215.403,0.326459743,-7866886.676,5424153.403,0.326459743,-8059370.676,5404309.403,0.326459743
-7958842.265,5416314.476,0.32991444,-7866900.265,5424252.476,0.32991444,-8059384.265,5404408.476,0.32991444
-7958855.854,5416413.548,0.333333333,-7866913.854,5424351.548,0.333333333,-8059397.854,5404507.548,0.333333333
-7958869.442,5416512.621,0.336717515,-7866927.442,5424450.621,0.336717515,-8059411.442,5404606.621,0.336717515
-7958883.031,5416611.693,0.34006802,-7866941.031,5424549.693,0.34006802,-8059425.031,5404705.693,0.34006802
-7958896.62,5416710.766,0.343385836,-7866954.62,5424648.766,0.343385836,-8059438.62,5404804.766,0.343385836
-7958910.209,5416809.838,0.346671899,-7866968.209,5424747.838,0.346671899,-8059452.209,5404903.838,0.346671899
-7958923.798,5416908.91,0.349927106,-7866981.798,5424846.91,0.349927106,-8059465.798,5405002.91,0.349927106
-7958937.387,5417007.983,0.353152309,-7866995.387,5424945.983,0.353152309,-8059479.387,5405101.983,0.353152309
-7958950.976,5417107.055,0.356348323,-7867008.976,5425045.055,0.356348323,-8059492.976,5405201.055,0.356348323
-7958964.564,5417206.128,0.359515925,-7867022.564,5425144.128,0.359515925,-8059506.564,5405300.128,0.359515925
-7958978.153,5417305.2,0.362655862,-7867036.153,5425243.2,0.362655862,-8059520.153,5405399.2,0.362655862
-7958991.742,5417404.272,0.365768845,-7867049.742,5425342.272,0.365768845,-8059533.742,5405498.272,0.365768845
-7959005.331,5417503.345,0.368855557,-7867063.331,5425441.345,0.368855557,-8059547.331,5405597.345,0.368855557
-7959018.92,5417602.417,0.371916651,-7867076.92,5425540.417,0.371916651,-8059560.92,5405696.417,0.371916651
-7959032.509,5417701.49,0.374952756,-7867090.509,5425639.49,0.374952756,-8059574.509,5405795.49,0.374952756
-7959046.097,5417800.562,0.377964473,-7867104.097,5425738.562,0.377964473,-8059588.097,5405894.562,0.377964473
-7959059.686,5417899.634,0.380952381,-7867117.686,5425837.634,0.380952381,-8059601.686,5405993.634,0.380952381
