Central Profile,,,Eastern Profile,,,Western Profile,,
-7959073.275,5417998.707,0.383917036,-7867131.275,5425936.707,0.383917036,-8059615.275,5406092.707,0.383917036
-7959086.864,5418097.779,0.386858972,-7867144.864,5426035.779,0.386858972,-8059628.864,5406191.779,0.386858972
-7959100.453,5418196.852,0.389778703,-7867158.453,5426134.852,0.389778703,-8059642.453,5406290.852,0.389778703
-7959114.042,5418295.924,0.392676726,-7867172.042,5426233.924,0.392676726,-8059656.042,5406389.924,0.392676726
-7959127.631,5418394.997,0.395553517,-7867185.631,5426332.997,0.395553517,-8059669.631,5406488.997,0.395553517
-7959141.219,5418494.069,0.398409536,-7867199.219,5426432.069,0.398409536,-8059683.219,5406588.069,0.398409536
-7959154.808,5418593.141,0.401245227,-7867212.808,5426531.141,0.401245227,-8059696.808,5406687.141,0.401245227
-7959168.397,5418692.214,0.404061018,-7867226.397,5426630.214,0.404061018,-8059710.397,5406786.214,0.404061018
-7959181.986,5418791.286,0.406857321,-7867239.986,5426729.286,0.406857321,-8059723.986,5406885.286,0.406857321
-7959195.575,5418890.359,0.409634537,-7867253.575,5426828.359,0.409634537,-8059737.575,5406984.359,0.409634537
-7959209.164,5418989.431,0.412393049,-7867267.164,5426927.431,0.412393049,-8059751.164,5407083.431,0.412393049
-7959222.753,5419088.503,0.415133233,-7867280.753,5427026.503,0.415133233,-8059764.753,5407182.503,0.415133233
-7959236.341,5419187.576,0.417855447,-7867294.341,5427125.576,0.417855447,-8059778.341,5407281.576,0.417855447
-7959249.93,5419286.648,0.420560041,-7867307.93,5427224.648,0.420560041,-8059791.93,5407380.648,0.420560041
-7959263.519,5419385.721,0.423247353,-7867321.519,5427323.721,0.423247353,-8059805.519,5407479.721,0.423247353
-7959277.108,5419484.793,0.42591771,-7867335.108,5427422.793,0.42591771,-8059819.108,5407578.793,0.42591771
-7959290.697,5419583.866,0.428571429,-7867348.697,5427521.866,0.428571429,-8059832.697,5407677.866,0.428571429
-7959304.286,5419682.938,0.431208816,-7867362.286,5427620.938,0.431208816,-8059846.286,5407776.938,0.431208816
-7959317.874,5419782.01,0.43383017,-7867375.874,5427720.01,0.43383017,-8059859.874,5407876.01,0.43383017
-7959331.463,5419881.083,0.43643578,-7867389.463,5427819.083,0.43643578,-8059873.463,5407975.083,0.43643578
-7959345.052,5419980.155,0.439025927,-7867403.052,5427918.155,0.439025927,-8059887.052,5408074.155,0.439025927
-7959358.641,5420079.228,0.441600881,-7867416.641,5428017.228,0.441600881,-8059900.641,5408173.228,0.441600881
-7959372.23,5420178.3,0.444160907,-7867430.23,5428116.3,0.444160907,-8059914.23,5408272.3,0.444160907
-7959385.819,5420277.372,0.446706263,-7867443.819,5428215.372,0.446706263,-8059927.819,5408371.372,0.446706263
-7959399.408,5420376.445,0.449237197,-7867457.408,5428314.445,0.449237197,-8059941.408,5408470.445,0.449237197
-7959412.996,5420475.517,0.451753951,-7867470.996,5428413.517,0.451753951,-8059954.996,5408569.517,0.451753951
-7959426.585,5420574.59,0.454256763,-7867484.585,5428512.59,0.454256763,-8059968.585,5408668.59,0.454256763
-7959440.174,5420673.662,0.456745859,-7867498.174,5428611.662,0.456745859,-8059982.174,5408767.662,0.456745859
-7959453.763,5420772.734,0.459221465,-7867511.763,5428710.734,0.459221465,-8059995.763,5408866.734,0.459221465
-7959467.352,5420871.807,0.461683796,-7867525.352,5428809.807,0.461683796,-8060009.352,5408965.807,0.461683796
-7959480.941,5420970.879,0.464133064,-7867538.941,5428908.879,0.464133064,-8060022.941,5409064.879,0.464133064
-7959494.529,5421069.952,0.466569475,-7867552.529,5429007.952,0.466569475,-8060036.529,5409163.952,0.466569475
-7959508.118,5421169.024,0.468993229,-7867566.118,5429107.024,0.468993229,-8060050.118,5409263.024,0.468993229
-7959521.707,5421268.097,0.471404521,-7867579.707,5429206.097,0.471404521,-8060063.707,5409362.097,0.471404521
-7959535.296,5421367.169,0.473803541,-7867593.296,5429305.169,0.473803541,-8060077.296,5409461.169,0.473803541
-7959548.885,5421466.241,0.476190476,-7867606.885,5429404.241,0.476190476,-8060090.885,5409560.241,0.476190476
-7959562.474,5421565.314,0.478565506,-7867620.474,5429503.314,0.478565506,-8060104.474,5409659.314,0.478565506
-7959576.063,5421664.386,0.480928807,-7867634.063,5429602.386,0.480928807,-8060118.063,5409758.386,0.480928807
-7959589.651,5421763.459,0.483280551,-7867647.651,5429701.459,0.483280551,-8060131.651,5409857.459,0.483280551
-7959603.24,5421862.531,0.485620906,-7867661.24,5429800.531,0.485620906,-8060145.24,5409956.531,0.485620906
-7959616.829,5421961.603,0.487950036,-7867674.829,5429899.603,0.487950036,-8060158.829,5410055.603,0.487950036
-7959630.418,5422060.676,0.490268102,-7867688.418,5429998.676,0.490268102,-8060172.418,5410154.676,0.490268102
-7959644.007,5422159.748,0.492575259,-7867702.007,5430097.748,0.492575259,-8060186.007,5410253.748,0.492575259
-7959657.596,5422258.821,0.494871659,-7867715.596,5430196.821,0.494871659,-8060199.596,5410352.821,0.494871659
-7959671.185,5422357.893,0.497157453,-7867729.185,5430295.893,0.497157453,-8060213.185,5410451.893,0.497157453
-7959684.773,5422456.966,0.499432785,-7867742.773,5430394.966,0.499432785,-8060226.773,5410550.966,0.499432785
-7959698.362,5422556.038,0.501697798,-7867756.362,5430494.038,0.501697798,-8060240.362,5410650.038,0.501697798
-7959711.951,5422655.11,0.503952631,-7867769.951,5430593.11,0.503952631,-8060253.951,5410749.11,0.503952631
-7959725.54,5422754.183,0.50619742,-7867783.54,5430692.183,0.50619742,-8060267.54,5410848.183,0.50619742
-7959739.129,5422853.255,0.508432298,-7867797.129,5430791.255,0.508432298,-8060281.129,5410947.255,0.508432298
-7959752.718,5422952.328,0.510657395,-7867810.718,5430890.328,0.510657395,-8060294.718,5411046.328,0.510657395
-7959766.306,5423051.4,0.512872839,-7867824.306,5430989.4,0.512872839,-8060308.306,5411145.4,0.512872839
-7959779.895,5423150.472,0.515078754,-7867837.895,5431088.472,0.515078754,-8060321.895,5411244.472,0.515078754
-7959793.484,5423249.545,0.517275261,-7867851.484,5431187.545,0.517275261,-8060335.484,5411343.545,0.517275261
-7959807.073,5423348.617,0.519462482,-7867865.073,5431286.617,0.519462482,-8060349.073,5411442.617,0.519462482
-7959820.662,5423447.69,0.521640531,-7867878.662,5431385.69,0.521640531,-8060362.662,5411541.69,0.521640531
-7959834.251,5423546.762,0.523809524,-7867892.251,5431484.762,0.523809524,-8060376.251,5411640.762,0.523809524
-7959847.84,5423645.834,0.525969572,-7867905.84,5431583.834,0.525969572,-8060389.84,5411739.834,0.525969572
-7959861.428,5423744.907,0.528120786,-7867919.428,5431682.907,0.528120786,-8060403.428,5411838.907,0.528120786
-7959875.017,5423843.979,0.530263273,-7867933.017,5431781.979,0.530263273,-8060417.017,5411937.979,0.530263273
-7959888.606,5423943.052,0.532397137,-7867946.606,5431881.052,0.532397137,-8060430.606,5412037.052,0.532397137
-7959902.195,5424042.124,0.534522484,-7867960.195,5431980.124,0.534522484,-8060444.195,5412136.124,0.534522484
-7959915.784,5424141.197,0.536639413,-7867973.784,5432079.197,0.536639413,-8060457.784,5412235.197,0.536639413
-7959929.373,5424240.269,0.538748024,-7867987.373,5432178.269,0.538748024,-8060471.373,5412334.269,0.538748024
-7959942.962,5424339.341,0.540848414,-7868000.962,5432277.341,0.540848414,-8060484.962,5412433.341,0.540848414
-7959956.55,5424438.414,0.542940679,-7868014.55,5432376.414,0.542940679,-8060498.55,5412532.414,0.542940679
-7959970.139,5424537.486,0.545024912,-7868028.139,5432475.486,0.545024912,-8060512.139,5412631.486,0.545024912
-7959983.728,5424636.559,0.547101204,-7868041.728,5432574.559,0.547101204,-8060525.728,5412730.559,0.547101204
-7959997.317,5424735.631,0.549169647,-7868055.317,5432673.631,0.549169647,-8060539.317,5412829.631,0.549169647
-7960010.906,5424834.703,0.551230329,-7868068.906,5432772.703,0.551230329,-8060552.906,5412928.703,0.551230329
-7960024.495,5424933.776,0.553283335,-7868082.495,5432871.776,0.553283335,-8060566.495,5413027.776,0.553283335
-7960038.083,5425032.848,0.555328752,-7868096.083,5432970.848,0.555328752,-8060580.083,5413126.848,0.555328752
-7960051.672,5425131.921,0.557366662,-7868109.672,5433069.921,0.557366662,-8060593.672,5413225.921,0.557366662
-7960065.261,5425230.993,0.559397149,-7868123.261,5433168.993,0.559397149,-8060607.261,5413324.993,0.559397149
-7960078.85,5425330.066,0.561420292,-7868136.85,5433268.066,0.561420292,-8060620.85,5413424.066,0.561420292
-7960092.439,5425429.138,0.56343617,-7868150.439,5433367.138,0.56343617,-8060634.439,5413523.138,0.56343617
-7960106.028,5425528.21,0.565444861,-7868164.028,5433466.21,0.565444861,-8060648.028,5413622.21,0.565444861
-7960119.617,5425627.283,0.567446442,-7868177.617,5433565.283,0.567446442,-8060661.617,5413721.283,0.567446442
-7960133.205,5425726.355,0.569440988,-7868191.205,5433664.355,0.569440988,-8060675.205,5413820.355,0.569440988
-7960146.794,5425825.428,0.571428571,-7868204.794,5433763.428,0.571428571,-8060688.794,5413919.428,0.571428571
-7960160.383,5425924.5,0.573409266,-7868218.383,5433862.5,0.573409266,-8060702.383,5414018.5,0.573409266
-7960173.972,5426023.572,0.575383142,-7868231.972,5433961.572,0.575383142,-8060715.972,5414117.572,0.575383142
-7960187.561,5426122.645,0.577350269,-7868245.561,5434060.645,0.577350269,-8060729.561,5414216.645,0.577350269
-7960201.15,5426221.717,0.579310717,-7868259.15,5434159.717,0.579310717,-8060743.15,5414315.717,0.579310717
-7960214.738,5426320.79,0.581264553,-7868272.738,5434258.79,0.581264553,-8060756.738,5414414.79,0.581264553
-7960228.327,5426419.862,0.583211844,-7868286.327,5434357.862,0.583211844,-8060770.327,5414513.862,0.583211844
-7960241.916,5426518.934,0.585152654,-7868299.916,5434456.934,0.585152654,-8060783.916,5414612.934,0.585152654
-7960255.505,5426618.007,0.587087048,-7868313.505,5434556.007,0.587087048,-8060797.505,5414712.007,0.587087048
-7960269.094,5426717.079,0.589015089,-7868327.094,5434655.079,0.589015089,-8060811.094,5414811.079,0.589015089
-7960282.683,5426816.152,0.59093684,-7868340.683,5434754.152,0.59093684,-8060824.683,5414910.152,0.59093684
-7960296.272,5426915.224,0.592852362,-7868354.272,5434853.224,0.592852362,-8060838.272,5415009.224,0.592852362
-7960309.86,5427014.297,0.594761714,-7868367.86,5434952.297,0.594761714,-8060851.86,5415108.297,0.594761714
-7960323.449,5427113.369,0.596664956,-7868381.449,5435051.369,0.596664956,-8060865.449,5415207.369,0.596664956
-7960337.038,5427212.441,0.598562147,-7868395.038,5435150.441,0.598562147,-8060879.038,5415306.441,0.598562147
-7960350.627,5427311.514,0.600453343,-7868408.627,5435249.514,0.600453343,-8060892.627,5415405.514,0.600453343
-7960364.216,5427410.586,0.602338602,-7868422.216,5435348.586,0.602338602,-8060906.216,5415504.586,0.602338602
-7960377.805,5427509.659,0.604217978,-7868435.805,5435447.659,0.604217978,-8060919.805,5415603.659,0.604217978
-7960391.394,5427608.731,0.606091527,-7868449.394,5435546.731,0.606091527,-8060933.394,5415702.731,0.606091527
-7960404.982,5427707.803,0.607959302,-7868462.982,5435645.803,0.607959302,-8060946.982,5415801.803,0.607959302
-7960418.571,5427806.876,0.609821356,-7868476.571,5435744.876,0.609821356,-8060960.571,5415900.876,0.609821356
-7960432.16,5427905.948,0.611677742,-7868490.16,5435843.948,0.611677742,-8060974.16,5415999.948,0.611677742
-7960445.749,5428005.021,0.613528511,-7868503.749,5435943.021,0.613528511,-8060987.749,5416099.021,0.613528511
-7960459.338,5428104.093,0.615373713,-7868517.338,5436042.093,0.615373713,-8061001.338,5416198.093,0.615373713
-7960472.927,5428203.166,0.6172134,-7868530.927,5436141.166,0.6172134,-8061014.927,5416297.166,0.6172134
-7960486.515,5428302.238,0.619047619,-7868544.515,5436240.238,0.619047619,-8061028.515,5416396.238,0.619047619
-7960500.104,5428401.31,0.62087642,-7868558.104,5436339.31,0.62087642,-8061042.104,5416495.31,0.62087642
-7960513.693,5428500.383,0.622699849,-7868571.693,5436438.383,0.622699849,-8061055.693,5416594.383,0.622699849
-7960527.282,5428599.455,0.624517955,-7868585.282,5436537.455,0.624517955,-8061069.282,5416693.455,0.624517955
-7960540.871,5428698.528,0.626330783,-7868598.871,5436636.528,0.626330783,-8061082.871,5416792.528,0.626330783
-7960554.46,5428797.6,0.628138379,-7868612.46,5436735.6,0.628138379,-8061096.46,5416891.6,0.628138379
-7960568.049,5428896.672,0.629940788,-7868626.049,5436834.672,0.629940788,-8061110.049,5416990.672,0.629940788
-7960581.637,5428995.745,0.631738055,-7868639.637,5436933.745,0.631738055,-8061123.637,5417089.745,0.631738055
-7960595.226,5429094.817,0.633530224,-7868653.226,5437032.817,0.633530224,-8061137.226,5417188.817,0.633530224
-7960608.815,5429193.89,0.635317336,-7868666.815,5437131.89,0.635317336,-8061150.815,5417287.89,0.635317336
-7960622.404,5429292.962,0.637099436,-7868680.404,5437230.962,0.637099436,-8061164.404,5417386.962,0.637099436
-7960635.993,5429392.034,0.638876565,-7868693.993,5437330.034,0.638876565,-8061177.993,5417486.034,0.638876565
-7960649.582,5429491.107,0.640648764,-7868707.582,5437429.107,0.640648764,-8061191.582,5417585.107,0.640648764
-7960663.17,5429590.179,0.642416074,-7868721.17,5437528.179,0.642416074,-8061205.17,5417684.179,0.642416074
-7960676.759,5429689.252,0.644178536,-7868734.759,5437627.252,0.644178536,-8061218.759,5417783.252,0.644178536
-7960690.348,5429788.324,0.645936189,-7868748.348,5437726.324,0.645936189,-8061232.348,5417882.324,0.645936189
-7960703.937,5429887.397,0.647689072,-7868761.937,5437825.397,0.647689072,-8061245.937,5417981.397,0.647689072
-7960717.526,5429986.469,0.649437224,-7868775.526,5437924.469,0.649437224,-8061259.526,5418080.469,0.649437224
-7960731.115,5430085.541,0.651180682,-7868789.115,5438023.541,0.651180682,-8061273.115,5418179.541,0.651180682
-7960744.704,5430184.614,0.652919486,-7868802.704,5438122.614,0.652919486,-8061286.704,5418278.614,0.652919486
-7960758.292,5430283.686,0.654653671,-7868816.292,5438221.686,0.654653671,-8061300.292,5418377.686,0.654653671
-7960771.881,5430382.759,0.656383274,-7868829.881,5438320.759,0.656383274,-8061313.881,5418476.759,0.656383274
-7960785.47,5430481.831,0.658108331,-7868843.47,5438419.831,0.658108331,-8061327.47,5418575.831,0.658108331
-7960799.059,5430580.903,0.659828879,-7868857.059,5438518.903,0.659828879,-8061341.059,5418674.903,0.659828879
-7960812.648,5430679.976,0.661544952,-7868870.648,5438617.976,0.661544952,-8061354.648,5418773.976,0.661544952
-7960826.237,5430779.048,0.663256585,-7868884.237,5438717.048,0.663256585,-8061368.237,5418873.048,0.663256585
-7960839.826,5430878.121,0.664963812,-7868897.826,5438816.121,0.664963812,-8061381.826,5418972.121,0.664963812
-7960853.414,5430977.193,0.666666667,-7868911.414,5438915.193,0.666666667,-8061395.414,5419071.193,0.666666667
-7960867.003,5431076.266,0.668365183,-7868925.003,5439014.266,0.668365183,-8061409.003,5419170.266,0.668365183
-7960880.592,5431175.338,0.670059394,-7868938.592,5439113.338,0.670059394,-8061422.592,5419269.338,0.670059394
-7960894.181,5431274.41,0.671749332,-7868952.181,5439212.41,0.671749332,-8061436.181,5419368.41,0.671749332
-7960907.77,5431373.483,0.67343503,-7868965.77,5439311.483,0.67343503,-8061449.77,5419467.483,0.67343503
-7960921.359,5431472.555,0.675116518,-7868979.359,5439410.555,0.675116518,-8061463.359,5419566.555,0.675116518
-7960934.947,5431571.628,0.676793829,-7868992.947,5439509.628,0.676793829,-8061476.947,5419665.628,0.676793829
-7960948.536,5431670.7,0.678466993,-7869006.536,5439608.7,0.678466993,-8061490.536,5419764.7,0.678466993
-7960962.125,5431769.772,0.680136041,-7869020.125,5439707.772,0.680136041,-8061504.125,5419863.772,0.680136041
-7960975.714,5431868.845,0.681801003,-7869033.714,5439806.845,0.681801003,-8061517.714,5419962.845,0.681801003
-7960989.303,5431967.917,0.683461909,-7869047.303,5439905.917,0.683461909,-8061531.303,5420061.917,0.683461909
-7961002.892,5432066.99,0.685118789,-7869060.892,5440004.99,0.685118789,-8061544.892,5420160.99,0.685118789
-7961016.481,5432166.062,0.686771672,-7869074.481,5440104.062,0.686771672,-8061558.481,5420260.062,0.686771672
-7961030.069,5432265.134,0.688420585,-7869088.069,5440203.134,0.688420585,-8061572.069,5420359.134,0.688420585
-7961043.658,5432364.207,0.690065559,-7869101.658,5440302.207,0.690065559,-8061585.658,5420458.207,0.690065559
-7961057.247,5432463.279,0.691706621,-7869115.247,5440401.279,0.691706621,-8061599.247,5420557.279,0.691706621
-7961070.836,5432562.352,0.693343799,-7869128.836,5440500.352,0.693343799,-8061612.836,5420656.352,0.693343799
-7961084.425,5432661.424,0.69497712,-7869142.425,5440599.424,0.69497712,-8061626.425,5420755.424,0.69497712
-7961098.014,5432760.497,0.696606611,-7869156.014,5440698.497,0.696606611,-8061640.014,5420854.497,0.696606611
-7961111.603,5432859.569,0.6982323,-7869169.603,5440797.569,0.6982323,-8061653.603,5420953.569,0.6982323
-7961125.191,5432958.641,0.699854212,-7869183.191,5440896.641,0.699854212,-8061667.191,5421052.641,0.699854212
-7961138.78,5433057.714,0.701472374,-7869196.78,5440995.714,0.701472374,-8061680.78,5421151.714,0.701472374
-7961152.369,5433156.786,0.703086812,-7869210.369,5441094.786,0.703086812,-8061694.369,5421250.786,0.703086812
-7961165.958,5433255.859,0.704697552,-7869223.958,5441193.859,0.704697552,-8061707.958,5421349.859,0.704697552
-7961179.547,5433354.931,0.706304618,-7869237.547,5441292.931,0.706304618,-8061721.547,5421448.931,0.706304618
-7961193.136,5433454.003,0.707908036,-7869251.136,5441392.003,0.707908036,-8061735.136,5421548.003,0.707908036
-7961206.724,5433553.076,0.70950783,-7869264.724,5441491.076,0.70950783,-8061748.724,5421647.076,0.70950783
-7961220.313,5433652.148,0.711104025,-7869278.313,5441590.148,0.711104025,-8061762.313,5421746.148,0.711104025
-7961233.902,5433751.221,0.712696645,-7869291.902,5441689.221,0.712696645,-8061775.902,5421845.221,0.712696645
-7961247.491,5433850.293,0.714285714,-7869305.491,5441788.293,0.714285714,-8061789.491,5421944.293,0.714285714
-7961261.08,5433949.366,0.715871256,-7869319.08,5441887.366,0.715871256,-8061803.08,5422043.366,0.715871256
-7961274.669,5434048.438,0.717453294,-7869332.669,5441986.438,0.717453294,-8061816.669,5422142.438,0.717453294
-7961288.258,5434147.51,0.719031851,-7869346.258,5442085.51,0.719031851,-8061830.258,5422241.51,0.719031851
-7961301.846,5434246.583,0.72060695,-7869359.846,5442184.583,0.72060695,-8061843.846,5422340.583,0.72060695
-7961315.435,5434345.655,0.722178614,-7869373.435,5442283.655,0.722178614,-8061857.435,5422439.655,0.722178614
-7961329.024,5434444.728,0.723746864,-7869387.024,5442382.728,0.723746864,-8061871.024,5422538.728,0.723746864
-7961342.613,5434543.8,0.725311724,-7869400.613,5442481.8,0.725311724,-8061884.613,5422637.8,0.725311724
-7961356.202,5434642.872,0.726873215,-7869414.202,5442580.872,0.726873215,-8061898.202,5422736.872,0.726873215
-7961369.791,5434741.945,0.728431359,-7869427.791,5442679.945,0.728431359,-8061911.791,5422835.945,0.728431359
-7961383.379,5434841.017,0.729986177,-7869441.379,5442779.017,0.729986177,-8061925.379,5422935.017,0.729986177
-7961396.968,5434940.09,0.73153769,-7869454.968,5442878.09,0.73153769,-8061938.968,5423034.09,0.73153769
-7961410.557,5435039.162,0.73308592,-7869468.557,5442977.162,0.73308592,-8061952.557,5423133.162,0.73308592
-7961424.146,5435138.234,0.734630887,-7869482.146,5443076.234,0.734630887,-8061966.146,5423232.234,0.734630887
-7961437.735,5435237.307,0.736172611,-7869495.735,5443175.307,0.736172611,-8061979.735,5423331.307,0.736172611
-7961451.324,5435336.379,0.737711114,-7869509.324,5443274.379,0.737711114,-8061993.324,5423430.379,0.737711114
-7961464.913,5435435.452,0.739246414,-7869522.913,5443373.452,0.739246414,-8062006.913,5423529.452,0.739246414
-7961478.501,5435534.524,0.740778533,-7869536.501,5443472.524,0.740778533,-8062020.501,5423628.524,0.740778533
-7961492.09,5435633.597,0.742307489,-7869550.09,5443571.597,0.742307489,-8062034.09,5423727.597,0.742307489
